Node Name	Level	Type
18_1111111121	0	I
15_1112112121	1	I
17_1111111121	1	I
13_2112212021	2	I
14_0012112221	2	I
16_2120010021	2	I
10_0112212221	2	L
11_2112212021	3	I
12_2112212021	3	I
5_0012212221	3	L
6_0012012221	3	L
8_2120010021	3	L
9_2120010021	3	L
1_2012212021	4	L
2_2112212021	4	L
3_2112212021	4	L
4_2112212021	4	L
20_2111111111	0	I
17_2110101111	1	I
19_2101111000	1	I
13_2120101121	2	I
16_2110101210	2	I
18_2101111000	2	I
12_2100101000	2	L
1_2120101121	3	L
2_2120101121	3	L
14_2110101210	3	I
15_2100101200	3	I
9_2100101000	3	L
10_2102111000	3	L
5_2110101210	4	L
6_2100101210	4	L
7_2100101200	4	L
8_2100101200	4	L
13_2111111011	0	I
9_2111111021	1	I
12_2112111000	1	I
1_2110101021	2	L
8_2112111021	2	I
10_2112111000	2	I
11_2102111000	2	I
2_2112111021	3	L
3_2112111021	3	L
4_2112111000	3	L
5_2102111000	3	L
6_2102111000	3	L
7_2102111000	3	L
50_1111111111	0	I
43_1111111111	1	I
49_1111111101	1	I
29_2101101000	2	I
42_1111111111	2	I
46_1111111100	2	I
48_2110101001	2	I
27_2100101000	3	I
28_2101101000	3	I
36_2111111111	3	I
41_1111111100	3	I
44_0111111100	3	I
45_2121101100	3	I
47_2110101000	3	I
26_2210100001	3	L
1_2100101000	4	L
2_2100101000	4	L
3_2100101000	4	L
4_2101101000	4	L
32_2100121000	4	I
35_2112111121	4	I
38_0112111200	4	I
40_2100111000	4	I
20_0112211200	4	L
21_0111011000	4	L
22_2121101100	4	L
23_2121101100	4	L
24_2110101000	4	L
25_2110101000	4	L
30_2100121000	5	I
31_2100121000	5	I
33_2122111121	5	I
34_2112111021	5	I
13_0112211200	5	L
37_0112011200	5	I
39_2100111000	5	I
19_2100101000	5	L
5_2100121000	6	L
6_2100121000	6	L
7_2100121000	6	L
8_2000120000	6	L
9_2122211121	6	L
10_2122111121	6	L
11_2122111021	6	L
12_2112112021	6	L
14_0112011200	6	L
15_0112011200	6	L
16_2100111000	6	L
17_2100101000	6	L
24_1111111111	0	I
19_1111111101	1	I
23_2111111111	1	I
16_1111111101	2	I
18_1111101201	2	I
22_2112111221	2	I
14_2100101000	2	L
15_1101111101	3	I
3_2121121101	3	L
4_0001200201	3	L
17_1110001201	3	I
20_2112111221	3	I
21_2102111221	3	I
1_2100101100	4	L
2_1101021101	4	L
5_1110001201	4	L
6_1110001201	4	L
7_2102211221	4	L
8_2112111221	4	L
9_2102111221	4	L
10_2102111221	4	L
37_1111111111	0	I
30_1111111111	1	I
36_1111111001	1	I
22_1111111111	2	I
29_1111111111	2	I
32_1110101001	2	I
35_1111111001	2	I
20_1111101011	3	I
21_2111111211	3	I
25_1111101111	3	I
28_2212111101	3	I
13_2110101001	3	L
31_0110201001	3	I
33_1111101001	3	I
34_2111111000	3	I
1_1111001011	4	L
2_1111101001	4	L
3_2111101221	4	L
4_2112111201	4	L
23_1111001111	4	I
24_2111101211	4	I
26_2222112101	4	I
27_2212110000	4	I
14_0110201001	4	L
15_0110201001	4	L
16_2100101000	4	L
17_1111001001	4	L
18_2112111000	4	L
19_2100101000	4	L
5_1101001221	5	L
6_1111001001	5	L
7_2111101221	5	L
8_2111101201	5	L
9_2222112101	5	L
10_2222112101	5	L
11_2212110000	5	L
12_2202110000	5	L
12_1112111101	0	I
11_1112111100	1	I
8_1122211101	1	L
9_1102111000	2	I
10_1112111100	2	I
1_2102111000	3	L
2_1102211000	3	L
3_1122211100	3	L
4_1102111200	3	L
21_1111111101	0	I
13_1102111000	1	I
20_2111111101	1	I
3_0102011000	2	L
4_2102101000	2	L
16_2101111201	2	I
19_2112111101	2	I
14_2101111201	3	I
15_2102111201	3	I
17_2112111201	3	I
18_2112111001	3	I
5_2100111200	4	L
6_2102111201	4	L
7_2102111201	4	L
8_2102111201	4	L
9_2112111201	4	L
10_2112111201	4	L
11_2112111001	4	L
12_2112111001	4	L
26_0111111111	0	I
20_0101001011	1	I
25_0111111111	1	I
18_0201000021	2	I
