,Node Name,Level,Type
0,XX_1111111111,0,I
332,XX_1111111111,0,I
319,XX_1111111111,0,I
1174,XX_1111111111,0,I
308,XX_1111111111,0,I
1181,XX_1111111111,0,I
1198,XX_1111111111,0,I
285,XX_1111111111,0,I
1249,XX_1111111111,0,I
1264,XX_1111111111,0,I
244,XX_1111111111,0,I
1317,XX_1111111111,0,I
1332,XX_1111111111,0,I
1165,XX_1111111111,0,I
205,XX_1111111111,0,I
1362,XX_1111111111,0,I
182,XX_1111111111,0,I
1413,XX_1111111111,0,I
163,XX_1111111111,0,I
1418,XX_1111111111,0,I
154,XX_1111111111,0,I
1479,XX_1111111111,0,I
1490,XX_1111111111,0,I
117,XX_1111111111,0,I
1505,XX_1111111111,0,I
1510,XX_1111111111,0,I
96,XX_1111111111,0,I
1355,XX_1111111111,0,I
1138,XX_1111111111,0,I
368,XX_1111111111,0,I
1115,XX_1111111111,0,I
728,XX_1111111111,0,I
753,XX_1111111111,0,I
656,XX_1111111111,0,I
770,XX_1111111111,0,I
639,XX_1111111111,0,I
807,XX_1111111111,0,I
822,XX_1111111111,0,I
841,XX_1111111111,0,I
860,XX_1111111111,0,I
572,XX_1111111111,0,I
887,XX_1111111111,0,I
545,XX_1111111111,0,I
910,XX_1111111111,0,I
915,XX_1111111111,0,I
526,XX_1111111111,0,I
940,XX_1111111111,0,I
497,XX_1111111111,0,I
1003,XX_1111111111,0,I
1028,XX_1111111111,0,I
474,XX_1111111111,0,I
1047,XX_1111111111,0,I
445,XX_1111111111,0,I
1066,XX_1111111111,0,I
1085,XX_1111111111,0,I
406,XX_1111111111,0,I
1100,XX_1111111111,0,I
385,XX_1111111111,0,I
1553,XX_1111111111,0,I
1570,XX_1111111111,0,I
349,XX_1111111111,0,I
1618,XX_1111111111,0,I
17,XX_1111111111,0,I
34,XX_1111111111,0,I
47,XX_1111111111,0,I
1595,XX_1111111111,0,I
707,XX_1111111111,0,I
1571,25_1111211111,1,I
1250,11_0222000000,1,I
1200,56_2111111111,1,I
1199,41_0111111121,1,I
286,15_1112212001,1,I
287,22_1111111111,1,I
823,13_1112211101,1,I
1183,17_2111111111,1,I
1182,14_1111111111,1,I
36,12_2112111000,1,I
35,9_2111111021,1,I
309,1_2100101000,1,L
310,13_2112111021,1,I
1176,13_1111111111,1,I
1175,12_1111111111,1,I
320,15_1101101100,1,I
321,17_1112011011,1,I
1167,10_2111111111,1,I
333,14_2110101111,1,I
334,17_0011200200,1,I
1166,8_1111111111,1,I
842,17_2102111221,1,I
1251,14_0112000000,1,I
809,14_1112111211,1,I
808,11_1101111010,1,I
1265,33_0112210221,1,I
48,43_1111111111,1,I
658,59_1111111111,1,I
657,41_1111111211,1,I
183,20_0101001011,1,I
184,25_0111111111,1,I
1364,57_1111111111,1,I
1363,47_1111111111,1,I
1357,6_2100101000,1,I
1356,5_2100111000,1,I
206,32_2112111111,1,I
843,22_1111011111,1,I
207,38_1111111111,1,I
772,38_1111111011,1,I
1334,25_1111111111,1,I
1333,21_1111111111,1,I
641,20_2111111221,1,I
1319,22_1111111111,1,I
1318,1_2112211101,1,L
640,17_1111111111,1,I
245,34_1111111011,1,I
246,45_1111111111,1,I
1266,55_1101111101,1,I
771,31_1111111011,1,I
708,21_1111111111,1,I
350,13_0220002121,1,I
351,18_1111111111,1,I
447,29_1111111111,1,I
1049,18_1111211121,1,I
1048,13_1112111111,1,I
1030,27_1111011111,1,I
1029,21_1120111101,1,I
475,19_0100001122,1,I
476,22_1111101011,1,I
19,19_2101111000,1,I
