dataset,cell_id_1,cell_id_2,No_of_cells,1_in_col_1,1_in_col_2,1_in_col_3,1_in_col_4,1_in_col_5,1_in_col_6,1_in_col_7,1_in_col_8,1_in_col_9,1_in_col_10,2_in_col_1,2_in_col_2,2_in_col_3,2_in_col_4,2_in_col_5,2_in_col_6,2_in_col_7,2_in_col_8,2_in_col_9,2_in_col_10,0_in_col_1,0_in_col_2,0_in_col_3,0_in_col_4,0_in_col_5,0_in_col_6,0_in_col_7,0_in_col_8,0_in_col_9,0_in_col_10,max 1 in a col,min 1 in a col,max 2 in a col,min 2 in a col,max 0 in a col,min 0 in a col,entropy_in_col_1,entropy_in_col_2,entropy_in_col_3,entropy_in_col_4,entropy_in_col_5,entropy_in_col_6,entropy_in_col_7,entropy_in_col_8,entropy_in_col_9,entropy_in_col_10,avg_entropy_per_col,Unique_Code_In_A_Row,percent_uniq_barcode,max 1 in a row,min 1 in a row,max 2 in a row,min 2 in a row,max 0 in a row,min 0 in a row,avg no 1 in a row,avg no 2 in a row,avg no 0 in a row,avg no 0 and 2 in a row,bit1_cell1,bit2_cell1,bit3_cell1,bit4_cell1,bit5_cell1,bit6_cell1,bit7_cell1,bit8_cell1,bit9_cell1,bit10_cell1,no_1_row_cell1,no_2_row_cell1,no_0_row_cell1,no_0+2_row_cell1,entropy_row_cell1,bit1_cell2,bit2_cell2,bit3_cell2,bit4_cell2,bit5_cell2,bit6_cell2,bit7_cell2,bit8_cell2,bit9_cell2,bit10_cell2,no_1_row_cell2,no_2_row_cell2,no_0_row_cell2,no_0+2_row_cell2,entropy_row_cell2,level
1,10,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,0,1,1,2,2,1,2,2,2,1,4,5,1,6,1.36096404744368,,,,,,,,,,,,,,,,2
1,5,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,0,0,1,2,2,1,2,2,2,1,3,5,2,7,1.48547529722733,,,,,,,,,,,,,,,,3
1,6,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,0,0,1,2,0,1,2,2,2,1,3,4,3,7,1.57095059445467,,,,,,,,,,,,,,,,3
1,8,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,2,1,2,0,0,1,0,0,2,1,3,3,4,7,1.57095059445467,,,,,,,,,,,,,,,,3
1,9,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,2,1,2,0,0,1,0,0,2,1,3,3,4,7,1.57095059445467,,,,,,,,,,,,,,,,3
1,1,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,2,0,1,2,2,1,2,0,2,1,3,5,2,7,1.48547529722733,,,,,,,,,,,,,,,,4
1,2,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,2,1,1,2,2,1,2,0,2,1,4,5,1,6,1.36096404744368,,,,,,,,,,,,,,,,4
1,3,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,2,1,1,2,2,1,2,0,2,1,4,5,1,6,1.36096404744368,,,,,,,,,,,,,,,,4
1,4,,9,0.0,0.666666667,0.777777778,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.666666667,0.0,0.222222222,0.777777778,0.666666667,0.0,0.777777778,0.333333333,1.0,0.0,0.333333333,0.333333333,0.0,0.222222222,0.333333333,0.0,0.222222222,0.666666667,0.0,0.0,9,0,9,0,6,0,0.276434591,0.276434591,0.230048479,0.230048479,0.276434591,0.0,0.230048479,0.276434591,0.0,0.0,0.1795883801,5,0.555555555555556,4,3,5,3,4,1,0.344444444,0.444444444,0.211111111,6.555555556,2,1,1,2,2,1,2,0,2,1,4,5,1,6,1.36096404744368,,,,,,,,,,,,,,,,4
2,1,,12,0.916666667,1.0,0.833333333,0.5,0.5,0.916666667,0.5,0.333333333,0.0,1.0,0.083333333,0.0,0.0,0.416666667,0.333333333,0.0,0.416666667,0.0,0.5,0.0,0.0,0.0,0.166666667,0.083333333,0.166666667,0.083333333,0.083333333,0.666666667,0.5,0.0,12,0,6,0,8,0,0.124571285,0.0,0.195676247,0.398868119,0.439247291,0.124571285,0.398868119,0.276434591,0.301029996,0.0,0.2259266933,4,0.333333333333333,9,3,3,1,6,0,0.65,0.175,0.175,3.5,1,1,1,2,2,1,2,0,0,1,5,3,2,5,1.48547529722733,,,,,,,,,,,,,,,,3
