,0,1
6,10,0112212221
9,5,0012212221
10,6,0012012221
11,8,2120010021
12,9,2120010021
13,1,2012212021
14,2,2112212021
15,3,2112212021
16,4,2112212021
24,1,1112212001
25,2,1112212001
26,3,1112212001
27,4,1112212001
32,5,1102000001
33,6,2100012001
34,7,1111111021
35,8,1111111021
36,9,1111111121
37,10,1111111121
38,11,1111111121
39,12,1111111121
47,1,2120211221
48,2,2120212221
49,3,2110100021
50,4,2110100021
53,9,0111111221
54,10,1111111221
55,5,1110112221
56,6,1110112221
57,7,1110111221
58,8,1110111221
66,1,2102111221
67,2,2102111221
68,3,2102010221
69,4,2102010221
72,13,0210012201
73,14,0210012201
74,9,1112011121
75,10,1112011121
76,11,1112010021
77,12,1112011021
85,1,0101001001
86,2,2101101000
87,3,2100101000
88,4,2100101000
89,5,1101201221
90,6,2101001000
91,7,1111001001
92,8,1111001021
96,1,2100111000
97,2,2100101000
98,3,2100101000
99,4,2100101000
120,12,2112101000
131,1,2110101001
132,2,2112111221
133,3,2100101000
134,4,2102110021
135,5,2112111221
136,6,2112111221
137,7,1111001211
138,8,1111001211
139,9,2112111211
140,10,0112210011
141,13,2000100021
142,14,2000100021
143,15,2100101021
144,16,2100101021
153,33,1122111121
154,34,1112011201
155,35,1111201221
156,36,2101101000
157,43,2112111001
158,44,2112111001
159,45,2112111001
160,46,2112111000
161,17,2111101021
162,18,2111101021
163,19,2111101011
164,20,2111101011
165,21,2111101021
166,22,2110101021
167,23,2111101001
168,24,2112111001
169,25,1101001020
170,26,1111001000
171,27,2102111000
172,28,1112011011
173,29,1111101021
174,30,2100101021
175,31,1112211011
176,32,1112211011
188,15,2110101021
189,16,2110101021
190,17,2100101000
191,24,2100101000
192,1,1110001221
193,2,1110001221
200,3,2110101221
201,4,2120101221
202,5,2112111221
203,6,2112111221
204,7,2111101201
205,8,2111101201
206,9,2112111201
207,10,2112111201
208,11,2112111221
209,12,2112111221
210,13,1112111221
211,14,2112111221
219,2,1100001000
227,3,1100010000
228,4,1100001000
229,5,1102111000
230,6,2100111000
231,7,1100101000
232,8,1100001000
233,9,2120100100
234,10,2220102101
235,11,2220102200
236,12,2100101000
237,13,2020100101
238,14,2020100101
239,15,2020100101
240,16,2020100101
247,12,2100101000
248,1,2120101121
249,2,2120101121
252,9,2100101000
253,10,2102111000
254,5,2110101210
255,6,2100101210
256,7,2100101200
257,8,2100101200
