Node Name	Level	Type
35_1111111111	0	I
26_0122211201	1	I
34_2112111211	1	I
23_0122212201	2	I
25_0122211201	2	I
29_2112111221	2	I
33_2112010201	2	I
21_0122212201	3	I
22_0022212201	3	I
24_0122210201	3	I
8_0122212200	3	L
27_2112111221	3	I
28_2112011221	3	I
31_2112010201	3	I
32_2112010201	3	I
1_0122212201	4	L
2_0122212201	4	L
3_0022212201	4	L
4_0022212201	4	L
5_0122210201	4	L
6_0122210201	4	L
9_2112011221	4	L
11_2112111221	4	L
14_2112011221	4	L
15_2112011221	4	L
30_2112010201	4	I
18_2112010201	4	L
19_2112010201	4	L
20_2112010201	4	L
16_2112010201	5	L
17_2112010201	5	L
