Node Name	Level	Type
35_1111111111	0	I
28_1112112111	1	I
34_1112112111	1	I
25_2112112221	2	I
27_1122012101	2	I
30_0122012000	2	I
33_2112212211	2	I
23_2112012221	3	I
24_2112212221	3	I
26_1122012001	3	I
15_0122012201	3	L
16_0122012000	3	L
29_0122012000	3	I
31_2112212211	3	I
32_2112212211	3	I
9_2112012221	4	L
10_2112012221	4	L
11_2112212221	4	L
12_2112212221	4	L
13_1122012001	4	L
14_1122012001	4	L
17_0122012000	4	L
18_0122012000	4	L
19_2112212211	4	L
20_2112212211	4	L
21_2112202201	4	L
22_2112212211	4	L
