,Node Name,Level,Type
0,18_1111111111,0,I
1,15_1112112121,1,I
2,17_1111111121,1,I
3,13_2112212021,2,I
4,14_0012112221,2,I
5,16_2120010021,2,I
6,10_0112212221,2,L
7,11_2112212021,3,I
8,12_2112212021,3,I
9,5_0012212221,3,L
10,6_0012012221,3,L
11,8_2120010021,3,L
12,9_2120010021,3,L
13,1_2012212021,4,L
14,2_2112212021,4,L
15,3_2112212021,4,L
16,4_2112212021,4,L
17,23_1111111111,0,I
18,15_1112212001,1,I
19,22_1111111111,1,I
20,13_1112212001,2,I
21,14_1112212001,2,I
22,18_1111111011,2,I
23,21_1111111121,2,I
24,1_1112212001,3,L
25,2_1112212001,3,L
26,3_1112212001,3,L
27,4_1112212001,3,L
28,16_1101011001,3,I
29,17_1111111021,3,I
30,19_1111111121,3,I
31,20_1111111121,3,I
32,5_1102000001,4,L
33,6_2100012001,4,L
34,7_1111111021,4,L
35,8_1111111021,4,L
36,9_1111111121,4,L
37,10_1111111121,4,L
38,11_1111111121,4,L
39,12_1111111121,4,L
40,19_1111111111,0,I
41,13_2110111121,1,I
42,18_1111111221,1,I
43,11_2120211221,2,I
44,12_2110100021,2,I
45,16_1110111221,2,I
46,17_1111111221,2,I
47,1_2120211221,3,L
48,2_2120212221,3,L
49,3_2110100021,3,L
50,4_2110100021,3,L
51,14_1110112221,3,I
52,15_1110111221,3,I
53,9_0111111221,3,L
54,10_1111111221,3,L
55,5_1110112221,4,L
56,6_1110112221,4,L
57,7_1110111221,4,L
58,8_1110111221,4,L
59,23_1111111111,0,I
60,17_2102111221,1,I
61,22_1111011111,1,I
62,15_2102111221,2,I
63,16_2102010221,2,I
64,20_1112011121,2,I
65,21_0210012201,2,I
66,1_2102111221,3,L
67,2_2102111221,3,L
68,3_2102010221,3,L
69,4_2102010221,3,L
70,18_1112011121,3,I
71,19_1112011021,3,I
72,13_0210012201,3,L
73,14_0210012201,3,L
74,9_1112011121,4,L
75,10_1112011121,4,L
76,11_1112010021,4,L
77,12_1112011021,4,L
78,15_1111111111,0,I
79,11_1101101001,1,I
80,14_1111101111,1,I
81,9_1101101001,2,I
82,10_2100101000,2,I
83,12_1101101111,2,I
84,13_1111001011,2,I
85,1_0101001001,3,L
86,2_2101101000,3,L
87,3_2100101000,3,L
88,4_2100101000,3,L
89,5_1101201221,3,L
90,6_2101001000,3,L
91,7_1111001001,3,L
92,8_1111001021,3,L
93,7_1111111111,0,I
94,5_2100111000,1,I
95,6_2100101000,1,I
96,1_2100111000,2,L
97,2_2100101000,2,L
98,3_2100101000,2,L
99,4_2100101000,2,L
100,84_1111111111,0,I
101,60_1111111111,1,I
102,83_1111111111,1,I
