,0,1,2,3,4,5,6,7,8,9
6,0,1,1,2,2,1,2,2,2,1
9,0,0,1,2,2,1,2,2,2,1
10,0,0,1,2,0,1,2,2,2,1
11,2,1,2,0,0,1,0,0,2,1
12,2,1,2,0,0,1,0,0,2,1
13,2,0,1,2,2,1,2,0,2,1
14,2,1,1,2,2,1,2,0,2,1
15,2,1,1,2,2,1,2,0,2,1
16,2,1,1,2,2,1,2,0,2,1
24,1,1,1,2,2,1,2,0,0,1
25,1,1,1,2,2,1,2,0,0,1
26,1,1,1,2,2,1,2,0,0,1
27,1,1,1,2,2,1,2,0,0,1
32,1,1,0,2,0,0,0,0,0,1
33,2,1,0,0,0,1,2,0,0,1
34,1,1,1,1,1,1,1,0,2,1
35,1,1,1,1,1,1,1,0,2,1
36,1,1,1,1,1,1,1,1,2,1
37,1,1,1,1,1,1,1,1,2,1
38,1,1,1,1,1,1,1,1,2,1
39,1,1,1,1,1,1,1,1,2,1
47,2,1,2,0,2,1,1,2,2,1
48,2,1,2,0,2,1,2,2,2,1
49,2,1,1,0,1,0,0,0,2,1
50,2,1,1,0,1,0,0,0,2,1
53,0,1,1,1,1,1,1,2,2,1
54,1,1,1,1,1,1,1,2,2,1
55,1,1,1,0,1,1,2,2,2,1
56,1,1,1,0,1,1,2,2,2,1
57,1,1,1,0,1,1,1,2,2,1
58,1,1,1,0,1,1,1,2,2,1
66,2,1,0,2,1,1,1,2,2,1
67,2,1,0,2,1,1,1,2,2,1
68,2,1,0,2,0,1,0,2,2,1
69,2,1,0,2,0,1,0,2,2,1
72,0,2,1,0,0,1,2,2,0,1
73,0,2,1,0,0,1,2,2,0,1
74,1,1,1,2,0,1,1,1,2,1
75,1,1,1,2,0,1,1,1,2,1
76,1,1,1,2,0,1,0,0,2,1
77,1,1,1,2,0,1,1,0,2,1
85,0,1,0,1,0,0,1,0,0,1
86,2,1,0,1,1,0,1,0,0,0
87,2,1,0,0,1,0,1,0,0,0
88,2,1,0,0,1,0,1,0,0,0
89,1,1,0,1,2,0,1,2,2,1
90,2,1,0,1,0,0,1,0,0,0
91,1,1,1,1,0,0,1,0,0,1
92,1,1,1,1,0,0,1,0,2,1
96,2,1,0,0,1,1,1,0,0,0
97,2,1,0,0,1,0,1,0,0,0
98,2,1,0,0,1,0,1,0,0,0
99,2,1,0,0,1,0,1,0,0,0
120,2,1,1,2,1,0,1,0,0,0
131,2,1,1,0,1,0,1,0,0,1
132,2,1,1,2,1,1,1,2,2,1
133,2,1,0,0,1,0,1,0,0,0
134,2,1,0,2,1,1,0,0,2,1
135,2,1,1,2,1,1,1,2,2,1
136,2,1,1,2,1,1,1,2,2,1
137,1,1,1,1,0,0,1,2,1,1
138,1,1,1,1,0,0,1,2,1,1
139,2,1,1,2,1,1,1,2,1,1
140,0,1,1,2,2,1,0,0,1,1
141,2,0,0,0,1,0,0,0,2,1
142,2,0,0,0,1,0,0,0,2,1
143,2,1,0,0,1,0,1,0,2,1
144,2,1,0,0,1,0,1,0,2,1
153,1,1,2,2,1,1,1,1,2,1
154,1,1,1,2,0,1,1,2,0,1
155,1,1,1,1,2,0,1,2,2,1
156,2,1,0,1,1,0,1,0,0,0
157,2,1,1,2,1,1,1,0,0,1
158,2,1,1,2,1,1,1,0,0,1
159,2,1,1,2,1,1,1,0,0,1
160,2,1,1,2,1,1,1,0,0,0
161,2,1,1,1,1,0,1,0,2,1
162,2,1,1,1,1,0,1,0,2,1
163,2,1,1,1,1,0,1,0,1,1
164,2,1,1,1,1,0,1,0,1,1
165,2,1,1,1,1,0,1,0,2,1
166,2,1,1,0,1,0,1,0,2,1
167,2,1,1,1,1,0,1,0,0,1
168,2,1,1,2,1,1,1,0,0,1
169,1,1,0,1,0,0,1,0,2,0
170,1,1,1,1,0,0,1,0,0,0
171,2,1,0,2,1,1,1,0,0,0
172,1,1,1,2,0,1,1,0,1,1
173,1,1,1,1,1,0,1,0,2,1
174,2,1,0,0,1,0,1,0,2,1
175,1,1,1,2,2,1,1,0,1,1
176,1,1,1,2,2,1,1,0,1,1
188,2,1,1,0,1,0,1,0,2,1
189,2,1,1,0,1,0,1,0,2,1
190,2,1,0,0,1,0,1,0,0,0
191,2,1,0,0,1,0,1,0,0,0
192,1,1,1,0,0,0,1,2,2,1
193,1,1,1,0,0,0,1,2,2,1
200,2,1,1,0,1,0,1,2,2,1
201,2,1,2,0,1,0,1,2,2,1
202,2,1,1,2,1,1,1,2,2,1
203,2,1,1,2,1,1,1,2,2,1
204,2,1,1,1,1,0,1,2,0,1
205,2,1,1,1,1,0,1,2,0,1
206,2,1,1,2,1,1,1,2,0,1
207,2,1,1,2,1,1,1,2,0,1
208,2,1,1,2,1,1,1,2,2,1
209,2,1,1,2,1,1,1,2,2,1
210,1,1,1,2,1,1,1,2,2,1
211,2,1,1,2,1,1,1,2,2,1
219,1,1,0,0,0,0,1,0,0,0
227,1,1,0,0,0,1,0,0,0,0
228,1,1,0,0,0,0,1,0,0,0
229,1,1,0,2,1,1,1,0,0,0
230,2,1,0,0,1,1,1,0,0,0
231,1,1,0,0,1,0,1,0,0,0
232,1,1,0,0,0,0,1,0,0,0
233,2,1,2,0,1,0,0,1,0,0
234,2,2,2,0,1,0,2,1,0,1
235,2,2,2,0,1,0,2,2,0,0
236,2,1,0,0,1,0,1,0,0,0
237,2,0,2,0,1,0,0,1,0,1
238,2,0,2,0,1,0,0,1,0,1
239,2,0,2,0,1,0,0,1,0,1
240,2,0,2,0,1,0,0,1,0,1
247,2,1,0,0,1,0,1,0,0,0
248,2,1,2,0,1,0,1,1,2,1
249,2,1,2,0,1,0,1,1,2,1
252,2,1,0,0,1,0,1,0,0,0
253,2,1,0,2,1,1,1,0,0,0
254,2,1,1,0,1,0,1,2,1,0
255,2,1,0,0,1,0,1,2,1,0
256,2,1,0,0,1,0,1,2,0,0
257,2,1,0,0,1,0,1,2,0,0
261,2,1,1,0,1,0,1,0,2,1
265,2,1,1,2,1,1,1,0,2,1
266,2,1,1,2,1,1,1,0,2,1
267,2,1,1,2,1,1,1,0,0,0
268,2,1,0,2,1,1,1,0,0,0
269,2,1,0,2,1,1,1,0,0,0
270,2,1,0,2,1,1,1,0,0,0
285,2,2,1,0,1,0,0,0,0,1
286,2,1,0,0,1,0,1,0,0,0
287,2,1,0,0,1,0,1,0,0,0
288,2,1,0,0,1,0,1,0,0,0
289,2,1,0,1,1,0,1,0,0,0
294,0,1,1,2,2,1,1,2,0,0
295,0,1,1,1,0,1,1,0,0,0
296,2,1,2,1,1,0,1,1,0,0
297,2,1,2,1,1,0,1,1,0,0
298,2,1,1,0,1,0,1,0,0,0
299,2,1,1,0,1,0,1,0,0,0
304,0,1,1,2,2,1,1,2,0,0
307,2,1,0,0,1,0,1,0,0,0
308,2,1,0,0,1,2,1,0,0,0
309,2,1,0,0,1,2,1,0,0,0
310,2,1,0,0,1,2,1,0,0,0
311,2,0,0,0,1,2,0,0,0,0
312,2,1,2,2,2,1,1,1,2,1
313,2,1,2,2,1,1,1,1,2,1
314,2,1,2,2,1,1,1,0,2,1
315,2,1,1,2,1,1,2,0,2,1
316,0,1,1,2,0,1,1,2,0,0
317,0,1,1,2,0,1,1,2,0,0
318,2,1,0,0,1,1,1,0,0,0
319,2,1,0,0,1,0,1,0,0,0
326,2,1,0,0,1,0,1,0,0,0
328,2,1,2,1,1,2,1,1,0,1
329,0,0,0,1,2,0,0,2,0,1
333,2,1,0,0,1,0,1,1,0,0
334,1,1,0,1,0,2,1,1,0,1
335,1,1,1,0,0,0,1,2,0,1
336,1,1,1,0,0,0,1,2,0,1
337,2,1,0,2,2,1,1,2,2,1
338,2,1,1,2,1,1,1,2,2,1
339,2,1,0,2,1,1,1,2,2,1
340,2,1,0,2,1,1,1,2,2,1
352,2,1,1,0,1,0,1,0,0,1
356,1,1,1,1,0,0,1,0,1,1
357,1,1,1,1,1,0,1,0,0,1
358,2,1,1,1,1,0,1,2,2,1
359,2,1,1,2,1,1,1,2,0,1
364,0,1,1,0,2,0,1,0,0,1
365,0,1,1,0,2,0,1,0,0,1
366,2,1,0,0,1,0,1,0,0,0
367,1,1,1,1,0,0,1,0,0,1
368,2,1,1,2,1,1,1,0,0,0
369,2,1,0,0,1,0,1,0,0,0
370,1,1,0,1,0,0,1,2,2,1
371,1,1,1,1,0,0,1,0,0,1
372,2,1,1,1,1,0,1,2,2,1
373,2,1,1,1,1,0,1,2,0,1
374,2,2,2,2,1,1,2,1,0,1
375,2,2,2,2,1,1,2,1,0,1
376,2,2,1,2,1,1,0,0,0,0
377,2,2,0,2,1,1,0,0,0,0
380,1,1,2,2,2,1,1,1,0,1
383,2,1,0,2,1,1,1,0,0,0
384,1,1,0,2,2,1,1,0,0,0
385,1,1,2,2,2,1,1,1,0,0
386,1,1,0,2,1,1,1,2,0,0
390,0,1,0,2,0,1,1,0,0,0
391,2,1,0,2,1,0,1,0,0,0
398,2,1,0,0,1,1,1,2,0,0
399,2,1,0,2,1,1,1,2,0,1
400,2,1,0,2,1,1,1,2,0,1
401,2,1,0,2,1,1,1,2,0,1
402,2,1,1,2,1,1,1,2,0,1
403,2,1,1,2,1,1,1,2,0,1
404,2,1,1,2,1,1,1,0,0,1
405,2,1,1,2,1,1,1,0,0,1
415,0,1,0,0,0,0,1,0,1,2
416,0,1,0,0,0,0,1,0,1,2
419,0,1,0,0,0,0,1,0,0,0
420,0,1,0,0,0,0,1,0,0,0
421,0,2,0,1,0,0,0,0,2,1
422,0,2,0,1,0,0,0,0,2,1
423,0,2,0,1,0,0,0,0,2,1
424,0,2,0,1,0,0,0,0,2,1
425,0,1,0,2,1,1,1,0,0,0
426,0,1,2,1,2,0,1,1,2,1
427,0,1,2,1,2,0,1,1,2,1
428,0,1,2,1,2,0,1,1,2,1
443,1,1,1,2,0,1,1,2,2,1
448,2,1,1,2,2,1,1,2,2,1
450,2,1,1,2,1,1,1,2,0,1
451,2,1,1,2,1,1,1,2,0,1
452,1,1,1,0,0,0,1,2,2,1
453,1,1,1,0,0,0,1,2,2,1
454,1,1,1,0,0,0,1,2,0,1
455,1,1,0,0,0,0,1,0,0,1
456,1,1,1,2,1,1,1,2,2,1
457,2,1,0,2,1,1,1,0,0,0
458,2,1,2,2,1,1,1,1,2,1
459,2,1,2,2,1,1,1,1,2,1
460,2,1,0,2,1,1,1,2,0,1
461,2,1,2,2,1,1,1,1,2,1
462,2,1,1,2,1,1,1,2,0,1
463,2,1,1,2,1,1,1,2,0,1
464,2,1,1,2,1,1,1,2,0,1
465,2,1,1,2,1,1,1,2,0,1
466,2,1,1,2,1,1,1,2,2,1
467,2,1,1,2,1,1,1,2,2,1
471,2,1,0,0,1,0,1,0,0,0
479,1,1,1,1,0,0,1,0,1,1
486,2,1,0,0,1,0,1,0,0,0
491,1,1,1,1,1,0,1,0,2,0
492,1,1,1,1,0,0,1,0,2,1
493,1,1,0,1,0,0,1,0,0,0
494,2,1,0,1,1,1,1,0,0,0
495,1,1,1,2,1,1,1,0,0,2
496,2,1,0,0,0,0,1,0,0,0
497,1,1,1,2,0,1,1,0,0,1
498,2,1,0,2,1,1,1,0,0,0
499,1,2,1,2,0,1,1,0,2,1
500,1,2,1,1,1,0,1,0,2,1
501,0,1,1,2,2,1,1,0,2,1
502,0,1,1,2,0,1,1,0,2,1
503,2,1,0,0,1,0,1,2,2,1
504,1,1,0,0,2,0,1,2,2,1
505,1,1,1,1,0,0,1,0,0,0
506,1,1,1,1,1,0,1,0,1,1
507,1,1,1,1,0,0,1,0,1,1
508,1,1,1,1,0,0,1,0,1,1
510,2,1,0,0,1,0,1,0,0,0
514,2,1,0,2,1,1,1,0,2,1
515,2,1,1,2,1,1,1,0,2,1
516,2,2,1,2,1,1,0,0,2,1
518,2,2,1,2,1,1,0,0,2,1
519,2,2,1,2,1,1,0,0,2,1
525,0,1,0,2,0,1,1,0,0,0
527,2,1,0,0,1,0,1,0,0,0
528,2,1,0,0,1,0,1,0,0,0
529,1,1,0,1,0,0,1,1,0,0
530,2,1,0,0,1,0,1,0,0,0
531,1,1,1,2,0,1,1,0,2,1
532,1,1,1,2,0,1,1,0,2,1
536,2,1,0,0,1,0,1,0,0,0
542,0,0,0,1,2,0,0,2,0,0
543,0,0,0,1,2,0,0,2,0,0
544,0,0,1,1,2,0,0,2,0,0
545,0,0,1,1,2,0,0,2,0,0
546,2,1,2,0,1,0,1,1,0,0
547,2,1,2,0,1,0,1,1,0,0
548,2,1,2,0,1,0,1,1,2,0
549,2,1,2,0,1,0,1,1,2,1
557,0,2,2,0,0,0,2,1,2,1
558,0,2,2,0,0,0,2,1,2,1
559,0,2,2,0,0,0,2,1,2,1
560,0,2,2,0,0,0,2,1,2,1
561,2,1,0,0,1,0,1,0,0,0
562,2,1,0,0,1,0,1,0,0,0
565,0,1,0,2,2,1,1,2,2,1
566,0,1,0,2,2,1,1,2,2,0
567,0,1,2,2,2,1,1,1,2,1
