,Unnamed: 0,Node Name,Level,Type
6,6,10_0112212221,2,L
9,9,5_0012212221,3,L
10,10,6_0012012221,3,L
11,11,8_2120010021,3,L
12,12,9_2120010021,3,L
13,13,1_2012212021,4,L
14,14,2_2112212021,4,L
15,15,3_2112212021,4,L
16,16,4_2112212021,4,L
24,24,1_1112212001,3,L
25,25,2_1112212001,3,L
26,26,3_1112212001,3,L
27,27,4_1112212001,3,L
32,32,5_1102000001,4,L
33,33,6_2100012001,4,L
34,34,7_1111111021,4,L
35,35,8_1111111021,4,L
36,36,9_1111111121,4,L
37,37,10_1111111121,4,L
38,38,11_1111111121,4,L
39,39,12_1111111121,4,L
47,47,1_2120211221,3,L
48,48,2_2120212221,3,L
49,49,3_2110100021,3,L
50,50,4_2110100021,3,L
53,53,9_0111111221,3,L
54,54,10_1111111221,3,L
55,55,5_1110112221,4,L
56,56,6_1110112221,4,L
57,57,7_1110111221,4,L
58,58,8_1110111221,4,L
66,66,1_2102111221,3,L
67,67,2_2102111221,3,L
68,68,3_2102010221,3,L
69,69,4_2102010221,3,L
72,72,13_0210012201,3,L
73,73,14_0210012201,3,L
74,74,9_1112011121,4,L
75,75,10_1112011121,4,L
76,76,11_1112010021,4,L
77,77,12_1112011021,4,L
85,85,1_0101001001,3,L
86,86,2_2101101000,3,L
87,87,3_2100101000,3,L
88,88,4_2100101000,3,L
89,89,5_1101201221,3,L
90,90,6_2101001000,3,L
91,91,7_1111001001,3,L
92,92,8_1111001021,3,L
96,96,1_2100111000,2,L
97,97,2_2100101000,2,L
98,98,3_2100101000,2,L
99,99,4_2100101000,2,L
120,120,12_2112101000,4,L
131,131,1_2110101001,5,L
132,132,2_2112111221,5,L
133,133,3_2100101000,5,L
134,134,4_2102110021,5,L
135,135,5_2112111221,5,L
136,136,6_2112111221,5,L
137,137,7_1111001211,5,L
138,138,8_1111001211,5,L
139,139,9_2112111211,5,L
140,140,10_0112210011,5,L
141,141,13_2000100021,5,L
142,142,14_2000100021,5,L
143,143,15_2100101021,5,L
144,144,16_2100101021,5,L
153,153,33_1122111121,5,L
154,154,34_1112011201,5,L
155,155,35_1111201221,5,L
156,156,36_2101101000,5,L
157,157,43_2112111001,5,L
158,158,44_2112111001,5,L
159,159,45_2112111001,5,L
160,160,46_2112111000,5,L
161,161,17_2111101021,6,L
162,162,18_2111101021,6,L
163,163,19_2111101011,6,L
164,164,20_2111101011,6,L
165,165,21_2111101021,6,L
166,166,22_2110101021,6,L
167,167,23_2111101001,6,L
168,168,24_2112111001,6,L
169,169,25_1101001020,6,L
170,170,26_1111001000,6,L
171,171,27_2102111000,6,L
172,172,28_1112011011,6,L
173,173,29_1111101021,6,L
174,174,30_2100101021,6,L
175,175,31_1112211011,6,L
176,176,32_1112211011,6,L
188,188,15_2110101021,3,L
189,189,16_2110101021,3,L
190,190,17_2100101000,3,L
191,191,24_2100101000,3,L
192,192,1_1110001221,4,L
193,193,2_1110001221,4,L
200,200,3_2110101221,5,L
201,201,4_2120101221,5,L
202,202,5_2112111221,5,L
203,203,6_2112111221,5,L
204,204,7_2111101201,5,L
205,205,8_2111101201,5,L
206,206,9_2112111201,5,L
207,207,10_2112111201,5,L
208,208,11_2112111221,5,L
209,209,12_2112111221,5,L
210,210,13_1112111221,5,L
211,211,14_2112111221,5,L
219,219,2_1100001000,3,L
227,227,3_1100010000,4,L
228,228,4_1100001000,4,L
229,229,5_1102111000,4,L
230,230,6_2100111000,4,L
231,231,7_1100101000,4,L
232,232,8_1100001000,4,L
233,233,9_2120100100,4,L
234,234,10_2220102101,4,L
235,235,11_2220102200,4,L
236,236,12_2100101000,4,L
237,237,13_2020100101,4,L
238,238,14_2020100101,4,L
239,239,15_2020100101,4,L
240,240,16_2020100101,4,L
247,247,12_2100101000,2,L
248,248,1_2120101121,3,L
249,249,2_2120101121,3,L
252,252,9_2100101000,3,L
253,253,10_2102111000,3,L
254,254,5_2110101210,4,L
255,255,6_2100101210,4,L
256,256,7_2100101200,4,L
257,257,8_2100101200,4,L
261,261,1_2110101021,2,L
265,265,2_2112111021,3,L
266,266,3_2112111021,3,L
267,267,4_2112111000,3,L
268,268,5_2102111000,3,L
269,269,6_2102111000,3,L
270,270,7_2102111000,3,L
285,285,26_2210100001,3,L
286,286,1_2100101000,4,L
287,287,2_2100101000,4,L
288,288,3_2100101000,4,L
289,289,4_2101101000,4,L
294,294,20_0112211200,4,L
295,295,21_0111011000,4,L
296,296,22_2121101100,4,L
297,297,23_2121101100,4,L
298,298,24_2110101000,4,L
299,299,25_2110101000,4,L
304,304,13_0112211200,5,L
307,307,19_2100101000,5,L
308,308,5_2100121000,6,L
309,309,6_2100121000,6,L
310,310,7_2100121000,6,L
311,311,8_2000120000,6,L
312,312,9_2122211121,6,L
313,313,10_2122111121,6,L
314,314,11_2122111021,6,L
315,315,12_2112112021,6,L
316,316,14_0112011200,6,L
317,317,15_0112011200,6,L
318,318,16_2100111000,6,L
319,319,17_2100101000,6,L
326,326,14_2100101000,2,L
328,328,3_2121121101,3,L
329,329,4_0001200201,3,L
333,333,1_2100101100,4,L
334,334,2_1101021101,4,L
335,335,5_1110001201,4,L
336,336,6_1110001201,4,L
337,337,7_2102211221,4,L
338,338,8_2112111221,4,L
339,339,9_2102111221,4,L
340,340,10_2102111221,4,L
352,352,13_2110101001,3,L
356,356,1_1111001011,4,L
357,357,2_1111101001,4,L
358,358,3_2111101221,4,L
359,359,4_2112111201,4,L
364,364,14_0110201001,4,L
365,365,15_0110201001,4,L
366,366,16_2100101000,4,L
367,367,17_1111001001,4,L
368,368,18_2112111000,4,L
369,369,19_2100101000,4,L
370,370,5_1101001221,5,L
371,371,6_1111001001,5,L
372,372,7_2111101221,5,L
373,373,8_2111101201,5,L
374,374,9_2222112101,5,L
375,375,10_2222112101,5,L
376,376,11_2212110000,5,L
377,377,12_2202110000,5,L
380,380,8_1122211101,1,L
383,383,1_2102111000,3,L
384,384,2_1102211000,3,L
385,385,3_1122211100,3,L
386,386,4_1102111200,3,L
390,390,3_0102011000,2,L
391,391,4_2102101000,2,L
398,398,5_2100111200,4,L
399,399,6_2102111201,4,L
400,400,7_2102111201,4,L
401,401,8_2102111201,4,L
402,402,9_2112111201,4,L
403,403,10_2112111201,4,L
404,404,11_2112111001,4,L
405,405,12_2112111001,4,L
415,415,8_0100001012,3,L
416,416,9_0100001012,3,L
419,419,14_0100001000,3,L
420,420,15_0100001000,3,L
421,421,4_0201000021,4,L
422,422,5_0201000021,4,L
423,423,6_0201000021,4,L
424,424,7_0201000021,4,L
425,425,10_0102111000,4,L
426,426,11_0121201121,4,L
427,427,12_0121201121,4,L
428,428,13_0121201121,4,L
443,443,20_1112011221,3,L
448,448,9_2112211221,4,L
450,450,12_2112111201,4,L
451,451,13_2112111201,4,L
452,452,14_1110001221,4,L
453,453,15_1110001221,4,L
454,454,16_1110001201,4,L
455,455,17_1100001001,4,L
456,456,18_1112111221,4,L
457,457,19_2102111000,4,L
458,458,1_2122111121,5,L
459,459,2_2122111121,5,L
460,460,3_2102111201,5,L
461,461,4_2122111121,5,L
462,462,5_2112111201,5,L
463,463,6_2112111201,5,L
464,464,7_2112111201,5,L
465,465,8_2112111201,5,L
466,466,10_2112111221,5,L
467,467,11_2112111221,5,L
471,471,1_2100101000,2,L
479,479,21_1111001011,3,L
486,486,16_2100101000,4,L
491,491,6_1111101020,5,L
492,492,7_1111001021,5,L
493,493,8_1101001000,5,L
494,494,9_2101111000,5,L
495,495,10_1112111002,5,L
496,496,11_2100001000,5,L
497,497,12_1112011001,5,L
498,498,13_2102111000,5,L
499,499,14_1212011021,5,L
500,500,15_1211101021,5,L
501,501,17_0112211021,5,L
502,502,18_0112011021,5,L
503,503,19_2100101221,5,L
504,504,20_1100201221,5,L
505,505,23_1111001000,5,L
506,506,24_1111101011,5,L
507,507,25_1111001011,5,L
508,508,26_1111001011,5,L
510,510,1_2100101000,1,L
514,514,5_2102111021,3,L
